Name Cups Calories Carbs Fat Fiber Potassium Protein Sodium Sugars
CapnCrunch 0.75 120 12 2 0 35 1 220 12
CocoaPuffs 1 110 12 1 0 55 1 180 13
Trix 1 110 13 1 0 25 1 140 12
AppleJacks 1 110 11 0 1 30 2 125 14
CornChex 1 110 22 0 0 25 2 280 3
CornFlakes 1 100 21 0 1 35 2 290 2
Nut&Honey 0.67 120 15 1 0 40 2 190 9
Smacks 0.75 110 9 1 1 40 2 70 15
MultiGrain 1 100 15 1 2 90 2 220 6
CracklinOat 0.5 110 10 3 4 160 3 140 7
GrapeNuts 0.25 110 17 0 3 90 3 179 3
HoneyNutCheerios 0.75 110 11.5 1 1.5 90 3 250 10
NutriGrain 0.67 140 21 2 3 130 3 220 7
Product19 1 100 20 0 1 45 3 320 3
TotalRaisinBran 1 140 15 1 4 230 3 190 14
WheatChex 0.67 100 17 1 3 115 3 230 3
Oatmeal 0.5 130 13.5 2 1.5 120 3 170 10
Life 0.67 100 12 2 2 95 4 150 6
Maypo 1 100 16 1 0 95 4 0 3
QuakerOats 0.5 100 14 1 2 110 4 135 6
Muesli 1 150 16 3 3 170 4 150 11
Cheerios 1.25 110 17 2 2 105 6 290 1
SpecialK 1 110 16 0 1 55 6 230 3
