day,hour,demand_MW,solar_pu
01,00,51.6,0
01,01,49.2,0
01,02,46.5,0
01,03,44.3,0
01,04,43.3,0
01,05,42.1,0
01,06,39.8,0
01,07,40.2,0
01,08,41.3,0.212560386
01,09,45,0.608695652
01,10,49.3,0.845410628
01,11,54.3,0.995169082
01,12,56,1
01,13,54.9,0.763285024
01,14,53.3,0.309178744
01,15,53.5,0.009661836
01,16,57.5,0
01,17,65,0
01,18,66.2,0
01,19,64.5,0
01,20,61,0
01,21,59,0
01,22,58.7,0
01,23,54.1,0
02,00,49.7,0
02,01,46.5,0
02,02,44.8,0
02,03,44.5,0
02,04,46,0
02,05,48.6,0
02,06,52.6,0
02,07,59,0
02,08,65.1,0.096618357
02,09,70.1,0.256038647
02,10,73.5,0.391304348
02,11,76.2,0.47826087
02,12,76.8,0.531400966
02,13,75.1,0.434782609
02,14,73.2,0.202898551
02,15,72.5,0.014492754
02,16,75.2,0
02,17,80.7,0
02,18,80.7,0
02,19,77.5,0
02,20,71.3,0
02,21,67.6,0
02,22,65.8,0
02,23,60.4,0
03,00,54.7,0
03,01,50.9,0
03,02,48.5,0
03,03,47.7,0
03,04,48.2,0
03,05,48.5,0
03,06,49.1,0
03,07,53.3,0
03,08,58.9,0.09178744
03,09,64.6,0.265700483
03,10,68.8,0.367149758
03,11,72,0.400966184
03,12,72.4,0.347826087
03,13,70.9,0.251207729
03,14,69.5,0.111111111
03,15,69.5,0.009661836
03,16,72.5,0
03,17,77.3,0
03,18,77.4,0
03,19,73.9,0
03,20,68,0
03,21,64.1,0
03,22,62.8,0
03,23,58.1,0
04,00,52.8,0
04,01,49.1,0
04,02,47,0
04,03,45.9,0
04,04,46.1,0
04,05,45.5,0
04,06,44.1,0
04,07,46.5,0.004830918
04,08,50.3,0.256038647
04,09,55.6,0.700483092
04,10,60.3,0.888888889
04,11,65.6,0.93236715
04,12,65.9,0.787439614
04,13,63.2,0.550724638
04,14,60.7,0.275362319
04,15,60.1,0.019323671
04,16,63.4,0
04,17,71.3,0
04,18,73.1,0
04,19,70.9,0
04,20,66.8,0
04,21,64.2,0
04,22,63.9,0
04,23,58.9,0
05,00,54,0
05,01,50.7,0
05,02,49.4,0
05,03,49.6,0
05,04,51.7,0
05,05,56.9,0
05,06,66.2,0
05,07,76.3,0.009661836
05,08,82,0.29468599
05,09,83.8,0.628019324
05,10,85.9,0.777777778
05,11,87.7,0.893719807
05,12,87.7,0.874396135
05,13,86.2,0.743961353
05,14,84.7,0.444444444
05,15,83.9,0.057971014
05,16,85.9,0
05,17,92,0
05,18,92,0
05,19,89,0
05,20,82,0
05,21,77.2,0
05,22,74.1,0
05,23,67,0
06,00,61.8,0
06,01,58,0
06,02,56.3,0
06,03,56.4,0
06,04,57.7,0
06,05,60.6,0
06,06,67.4,0
06,07,75.7,0.009661836
06,08,79.7,0.256038647
06,09,81.7,0.584541063
06,10,84.2,0.821256039
06,11,86.3,0.942028986
06,12,86,0.884057971
06,13,83.8,0.661835749
06,14,81.5,0.328502415
06,15,80.9,0.028985507
06,16,83.8,0
06,17,90.7,0
06,18,90.7,0
06,19,88.2,0
06,20,82.1,0
06,21,77.2,0
06,22,73.9,0
06,23,67.5,0
07,00,61.8,0
07,01,57.9,0
07,02,56.9,0
07,03,57.5,0
07,04,59.2,0
07,05,64.8,0
07,06,77.9,0
07,07,89.3,0.004830918
07,08,94.1,0.154589372
07,09,94.4,0.434782609
07,10,95.9,0.589371981
07,11,97.3,0.70531401
07,12,96.7,0.647342995
07,13,95.6,0.531400966
07,14,93.7,0.265700483
07,15,92.7,0.028985507
07,16,94,0
07,17,100,0
07,18,99.2,0
07,19,95.8,0
07,20,88.9,0
07,21,83.3,0
07,22,79.2,0
07,23,71.3,0
